scenario,label,kernel,dtype,causal,batch_size,H_q,H_kv,head_dim,seq_q,seq_k,count,num_iters,elapsed_ms,per_iter_ms,tflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c,vs_baseline
prefill,prefill_S2048,sdpa_flash,bf16,0,1,32,8,128,2048,2048,36,8274,1865.6092,0.2255,304.7717,412.23,769060.98,0.0014,2384.6,50.2,1.0
prefill,prefill_S2048,sdpa_mem_eff,bf16,0,1,32,8,128,2048,2048,36,3565,1992.5332,0.5589,122.9515,455.62,907841.47,0.0037,2419.8,50.4,0.4034
prefill,prefill_S2048,sdpa_cudnn,bf16,0,1,32,8,128,2048,2048,36,9543,2025.1703,0.2122,323.8197,557.35,1128732.78,0.0017,2278.0,56.8,1.0625
prefill,prefill_S4096,sdpa_flash,bf16,0,1,32,8,128,4096,4096,36,2283,1990.6262,0.8719,315.2507,594.77,1183959.35,0.0019,2390.0,59.1,1.0
prefill,prefill_S4096,sdpa_mem_eff,bf16,0,1,32,8,128,4096,4096,36,978,1993.637,2.0385,134.8443,493.12,983099.52,0.0037,2420.9,56.3,0.4277
prefill,prefill_S4096,sdpa_cudnn,bf16,0,1,32,8,128,4096,4096,36,2691,2130.5778,0.7917,347.1811,569.38,1213102.01,0.0016,2177.5,61.2,1.1013
decode,decode_Sk2048,sdpa_flash,bf16,0,1,32,8,128,1,2048,36,74912,1852.1618,0.0247,1.3571,300.18,555985.23,0.2212,2401.6,50.3,1.0
decode,decode_Sk2048,sdpa_mem_eff,bf16,0,1,32,8,128,1,2048,36,21713,1957.4893,0.0902,0.3722,182.7,357628.6,0.4909,2421.3,47.0,0.2743
decode,decode_Sk2048,sdpa_cudnn,bf16,0,1,32,8,128,1,2048,36,81696,1906.4432,0.0233,1.4379,179.41,342039.71,0.1248,2422.0,46.9,1.0595
decode,decode_Sk4096,sdpa_flash,bf16,0,1,32,8,128,1,4096,36,70072,1865.8439,0.0266,2.5203,310.85,580004.54,0.1233,2422.0,52.2,1.0
decode,decode_Sk4096,sdpa_mem_eff,bf16,0,1,32,8,128,1,4096,36,11194,1979.3266,0.1768,0.3795,220.83,437086.88,0.5818,2422.0,47.1,0.1506
decode,decode_Sk4096,sdpa_cudnn,bf16,0,1,32,8,128,1,4096,36,79882,1851.3744,0.0232,2.8956,229.64,425148.51,0.0793,2422.0,48.6,1.1489
