batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c,test_case
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,2737.9471,376483.5847,481.1139,1317264.5009,0.0013,2243.8571,48.7857,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,2688.6303,383389.3178,600.536,1614619.3086,0.0016,2271.4444,53.9259,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,3000,2612.4516,473482.6853,361.49,944375.1156,0.0008,2422.0,45.0,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,2886.8737,357061.737,494.3597,1427153.9053,0.0014,2161.3103,54.2759,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,2880.1125,357899.9581,511.8821,1474277.9566,0.0014,2122.0,56.2414,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,3000,2966.8082,416929.7405,270.109,801361.6015,0.0006,2130.0,47.0,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,3345.5879,308104.937,413.1331,1382172.9652,0.0013,1830.0,55.4412,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,3342.0484,308431.2413,400.2937,1337800.8597,0.0013,1830.0,55.9118,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,3000,3446.6728,358882.5086,216.985,747876.2977,0.0006,1830.0,48.0,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,3989.307,258388.778,299.7989,1195989.7393,0.0012,1530.0,52.0,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,3986.3074,258583.204,289.5304,1154157.2885,0.0011,1530.0,52.0,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,3000,4101.9528,301551.6369,164.7859,675944.1206,0.0005,1530.0,46.0,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,4955.8194,207996.3111,229.1313,1135533.1407,0.0011,1230.0,48.8,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,4952.1413,208150.7968,220.832,1093591.1616,0.0011,1230.0,48.0,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,3000,5090.5937,242987.4901,143.52,730602.0049,0.0006,1230.0,43.0,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,6545.1552,157489.3379,183.2961,1199701.1551,0.0012,930.0,45.0,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,6537.4874,157674.0551,176.5705,1154327.2234,0.0011,930.7424,44.0606,LD+MMA
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,3000,6663.2759,185637.0045,113.712,757694.431,0.0006,930.0,40.0,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,2704.0835,381198.3503,555.1901,1501280.2849,0.0015,2164.4286,58.5357,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,2644.0676,389850.9135,599.6159,1585425.0141,0.0015,2201.5556,60.8889,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,3000,2688.3141,460121.2971,459.4641,1235183.7593,0.001,2392.5926,52.7407,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,2743.0744,375779.8735,553.2365,1517568.9783,0.0015,2158.6429,62.5357,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,2744.178,375628.7453,562.1609,1542669.6707,0.0015,2128.8571,63.4643,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,3000,3053.2204,405129.8051,312.258,953392.4923,0.0008,2130.0,53.0,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,3198.9934,322223.9065,448.1546,1433643.4885,0.0014,1830.0,61.5312,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,3203.4874,321771.8795,433.2588,1387938.9322,0.0013,1830.0,61.2188,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,3000,3543.6812,349058.0823,255.002,903645.8061,0.0007,1830.0,53.0,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,3793.9717,271692.1024,324.3407,1230539.5809,0.0012,1530.0,57.0,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,3797.6921,271425.94,312.9054,1188318.449,0.0012,1530.0,56.6579,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,3000,4219.3319,293162.662,198.041,835600.7151,0.0007,1530.0,49.0,LD+MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,4958.4536,207885.8109,232.3395,1152044.8324,0.0011,1230.0,51.96,LD+MMA
