batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop
"tensor([[-1.5693,  0.0623, -0.5088,  ..., -0.7705, -0.2593, -0.1484],
        [-1.0947, -0.5664,  1.7285,  ..., -1.6689,  1.5312,  2.1602],
        [-2.6328, -0.1077,  0.2908,  ...,  0.0070, -0.3552, -1.1387],
        ...,
        [ 2.1484, -0.1685, -0.1508,  ...,  0.5469,  1.3896, -0.3494],
        [ 0.4180,  0.6919,  0.2590,  ...,  1.1582,  0.9395, -1.1689],
        [ 0.9077,  1.2480,  0.0433,  ...,  1.6250, -0.2571, -1.1328]],
       device='cuda:0', dtype=torch.float16)",4096,attn_qkv_proj,36,4096,4096,6144,cublas,0,0,5030,2868.7054,361479.0466,470.5473,1349861.7103,0.0013
"tensor([[-1.5693,  0.0623, -0.5088,  ..., -0.7705, -0.2593, -0.1484],
        [-1.0947, -0.5664,  1.7285,  ..., -1.6689,  1.5312,  2.1602],
        [-2.6328, -0.1077,  0.2908,  ...,  0.0070, -0.3552, -1.1387],
        ...,
        [ 2.1484, -0.1685, -0.1508,  ...,  0.5469,  1.3896, -0.3494],
        [ 0.4180,  0.6919,  0.2590,  ...,  1.1582,  0.9395, -1.1689],
        [ 0.9077,  1.2480,  0.0433,  ...,  1.6250, -0.2571, -1.1328]],
       device='cuda:0', dtype=torch.float16)",4096,attn_qkv_proj,36,4096,4096,6144,wmma_simple,0,1,694,2988.547,47874.0843,511.0237,1527218.3358,0.0107
"tensor([[-1.5693,  0.0623, -0.5088,  ..., -0.7705, -0.2593, -0.1484],
        [-1.0947, -0.5664,  1.7285,  ..., -1.6689,  1.5312,  2.1602],
        [-2.6328, -0.1077,  0.2908,  ...,  0.0070, -0.3552, -1.1387],
        ...,
        [ 2.1484, -0.1685, -0.1508,  ...,  0.5469,  1.3896, -0.3494],
        [ 0.4180,  0.6919,  0.2590,  ...,  1.1582,  0.9395, -1.1689],
        [ 0.9077,  1.2480,  0.0433,  ...,  1.6250, -0.2571, -1.1328]],
       device='cuda:0', dtype=torch.float16)",4096,attn_qkv_proj,36,4096,4096,6144,wmma_simple,16,1,700,2995.0245,48183.5457,513.4317,1537740.6473,0.0107
"tensor([[-1.5693,  0.0623, -0.5088,  ..., -0.7705, -0.2593, -0.1484],
        [-1.0947, -0.5664,  1.7285,  ..., -1.6689,  1.5312,  2.1602],
        [-2.6328, -0.1077,  0.2908,  ...,  0.0070, -0.3552, -1.1387],
        ...,
        [ 2.1484, -0.1685, -0.1508,  ...,  0.5469,  1.3896, -0.3494],
        [ 0.4180,  0.6919,  0.2590,  ...,  1.1582,  0.9395, -1.1689],
        [ 0.9077,  1.2480,  0.0433,  ...,  1.6250, -0.2571, -1.1328]],
       device='cuda:0', dtype=torch.float16)",4096,attn_qkv_proj,36,4096,4096,6144,wmma_simple,32768,1,701,2999.9176,48173.6768,516.8054,1550373.6261,0.0107
"tensor([[-1.5693,  0.0623, -0.5088,  ..., -0.7705, -0.2593, -0.1484],
        [-1.0947, -0.5664,  1.7285,  ..., -1.6689,  1.5312,  2.1602],
        [-2.6328, -0.1077,  0.2908,  ...,  0.0070, -0.3552, -1.1387],
        ...,
        [ 2.1484, -0.1685, -0.1508,  ...,  0.5469,  1.3896, -0.3494],
        [ 0.4180,  0.6919,  0.2590,  ...,  1.1582,  0.9395, -1.1689],
        [ 0.9077,  1.2480,  0.0433,  ...,  1.6250, -0.2571, -1.1328]],
       device='cuda:0', dtype=torch.float16)",4096,attn_qkv_proj,36,4096,4096,6144,wmma_simple,131072,1,701,3000.3189,48167.2324,519.6824,1559212.9453,0.0108
"tensor([[-0.9375,  0.8828,  2.0898,  ...,  1.6768,  0.3831, -0.4285],
        [-0.3911,  0.8037,  0.2408,  ...,  0.0746,  0.7896, -0.5908],
        [ 0.6479,  0.1741, -0.9600,  ...,  1.1494, -0.7710, -1.0693],
        ...,
        [ 1.2588,  0.0661,  2.0098,  ..., -0.1113,  0.1512,  0.3135],
        [ 0.5337,  0.6411, -2.1445,  ...,  1.0908,  1.1221,  0.7939],
        [ 1.5332, -0.3162, -0.5278,  ...,  2.4863,  0.7012, -0.8096]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_gate_proj,36,4096,4096,12288,cublas,0,0,2810,3117.5715,371638.7459,588.9023,1835945.0911,0.0016
"tensor([[-0.9375,  0.8828,  2.0898,  ...,  1.6768,  0.3831, -0.4285],
        [-0.3911,  0.8037,  0.2408,  ...,  0.0746,  0.7896, -0.5908],
        [ 0.6479,  0.1741, -0.9600,  ...,  1.1494, -0.7710, -1.0693],
        ...,
        [ 1.2588,  0.0661,  2.0098,  ..., -0.1113,  0.1512,  0.3135],
        [ 0.5337,  0.6411, -2.1445,  ...,  1.0908,  1.1221,  0.7939],
        [ 1.5332, -0.3162, -0.5278,  ...,  2.4863,  0.7012, -0.8096]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_gate_proj,36,4096,4096,12288,wmma_simple,0,1,336,2995.4972,46248.9052,520.5947,1559440.0307,0.0113
"tensor([[-0.9375,  0.8828,  2.0898,  ...,  1.6768,  0.3831, -0.4285],
        [-0.3911,  0.8037,  0.2408,  ...,  0.0746,  0.7896, -0.5908],
        [ 0.6479,  0.1741, -0.9600,  ...,  1.1494, -0.7710, -1.0693],
        ...,
        [ 1.2588,  0.0661,  2.0098,  ..., -0.1113,  0.1512,  0.3135],
        [ 0.5337,  0.6411, -2.1445,  ...,  1.0908,  1.1221,  0.7939],
        [ 1.5332, -0.3162, -0.5278,  ...,  2.4863,  0.7012, -0.8096]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_gate_proj,36,4096,4096,12288,wmma_simple,16,1,338,2993.5881,46553.8653,518.0658,1550875.5363,0.0111
"tensor([[-0.9375,  0.8828,  2.0898,  ...,  1.6768,  0.3831, -0.4285],
        [-0.3911,  0.8037,  0.2408,  ...,  0.0746,  0.7896, -0.5908],
        [ 0.6479,  0.1741, -0.9600,  ...,  1.1494, -0.7710, -1.0693],
        ...,
        [ 1.2588,  0.0661,  2.0098,  ..., -0.1113,  0.1512,  0.3135],
        [ 0.5337,  0.6411, -2.1445,  ...,  1.0908,  1.1221,  0.7939],
        [ 1.5332, -0.3162, -0.5278,  ...,  2.4863,  0.7012, -0.8096]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_gate_proj,36,4096,4096,12288,wmma_simple,32768,1,338,2994.7779,46535.371,519.5362,1555895.5534,0.0112
"tensor([[-0.9375,  0.8828,  2.0898,  ...,  1.6768,  0.3831, -0.4285],
        [-0.3911,  0.8037,  0.2408,  ...,  0.0746,  0.7896, -0.5908],
        [ 0.6479,  0.1741, -0.9600,  ...,  1.1494, -0.7710, -1.0693],
        ...,
        [ 1.2588,  0.0661,  2.0098,  ..., -0.1113,  0.1512,  0.3135],
        [ 0.5337,  0.6411, -2.1445,  ...,  1.0908,  1.1221,  0.7939],
        [ 1.5332, -0.3162, -0.5278,  ...,  2.4863,  0.7012, -0.8096]],
       device='cuda:0', dtype=torch.float16)",4096,mlp_gate_proj,36,4096,4096,12288,wmma_simple,131072,1,338,2993.7269,46551.7079,523.0317,1565813.9135,0.0112
