batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c,test_case
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,2880.7551,357820.1305,600.4542,1729761.3949,0.0017,2122.0,84.0,MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,2779.7518,370821.6571,599.9931,1667831.7915,0.0016,2198.3214,83.0,MMA
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,2500,2857.0913,360783.7666,600.185,1714783.3257,0.0017,2145.0,82.0,MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,2891.8325,356449.4634,578.9525,1674233.6189,0.0016,2115.0,80.0,MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,2881.2383,357760.1221,544.6927,1569389.4163,0.0015,2122.0,78.0,MMA
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,2500,2900.2573,355414.0409,580.966,1684950.857,0.0016,2107.0,81.0,MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,3342.4528,308393.9315,442.925,1480455.9923,0.0014,1830.0,69.0,MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,3340.2425,308598.0013,413.6254,1381609.2666,0.0013,1830.0,65.0,MMA
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,2500,3338.9452,308717.9024,442.261,1476685.2325,0.0014,1830.0,67.0,MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,3987.864,258482.2714,306.0484,1220479.4043,0.0012,1530.0,56.0,MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,3986.338,258581.2219,289.58,1154363.9576,0.0011,1530.0,55.0,MMA
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,2500,3977.3262,259167.1105,308.398,1226599.4602,0.0012,1530.0,56.0,MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,4954.8653,208036.3627,229.9594,1139417.6494,0.0011,1230.0,48.0,MMA
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,4952.3496,208142.0405,219.5256,1087167.6164,0.0011,1230.0,48.0,MMA
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,2500,4949.9851,208241.4657,227.251,1124889.0626,0.0011,1230.0,48.0,MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,2790.2741,369423.2646,600.0535,1674313.7133,0.0016,2085.0,81.8929,MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,2741.4964,375996.1758,599.9008,1644625.8264,0.0016,2130.0,82.0,MMA
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,2500,2952.6863,349103.176,598.556,1767348.077,0.0017,2122.0,82.0,MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,2826.7806,364652.3389,599.9877,1696033.4537,0.0016,2062.0,84.0,MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,2751.3301,374652.2987,596.6631,1641617.2717,0.0016,2122.0,84.0,MMA
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,2500,2974.0106,346600.0302,589.493,1753158.4088,0.0017,2107.0,81.0,MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,3176.4668,324509.032,475.4974,1510401.8014,0.0015,1830.0,71.0,MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,3176.2931,324526.77,446.2815,1417520.9631,0.0014,1830.0,68.9062,MMA
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,2500,3420.2851,301376.0911,459.168,1570485.367,0.0015,1830.0,69.6,MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,3795.1392,271608.5228,330.5035,1254306.6877,0.0012,1530.0,59.0,MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,3796.4059,271517.8967,309.3477,1174409.2807,0.0011,1530.0,56.0,MMA
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,2500,4076.5458,252859.2104,323.069,1317005.5738,0.0013,1530.0,56.0,MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,4932.3853,208984.5146,234.3061,1155688.1642,0.0011,1230.0,50.0,MMA
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,4790.0233,215195.6433,227.6807,1090595.7042,0.0011,1230.0,48.0,MMA
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,2500,5071.6413,203246.2664,240.863,1221570.7293,0.0012,1230.0,48.0,MMA
