batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c,test_case
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,2879.418,357986.2836,600.5787,1729317.1923,0.0017,2122.5517,84.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,2810.1813,366806.2832,601.2542,1689633.4148,0.0016,2175.0,85.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,2500,155.9521,6609673.0734,406.932,63461.8849,0.0001,2422.0,73.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,2894.5566,356114.0099,584.8409,1692854.9662,0.0016,2115.0,83.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,2884.4019,357367.7278,548.6879,1582636.5075,0.0015,2122.0,78.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,2500,172.8919,5962061.6985,315.227,54500.1937,0.0001,2130.0,65.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,3342.4312,308395.9191,442.6139,1479406.4632,0.0014,1830.0,69.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,3340.2054,308601.4279,416.6951,1391847.2754,0.0014,1830.0,67.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,2500,195.9686,5259987.2398,263.327,51603.8143,0.0001,1830.0,57.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,3987.7314,258490.8707,306.9801,1224154.1711,0.0012,1530.0,58.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,3986.32,258582.3908,290.3929,1157599.1192,0.0011,1530.0,56.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,2500,227.2304,4536329.5724,211.884,48146.4939,0.0,1530.0,49.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,4955.0296,208029.4622,225.2004,1115874.4587,0.0011,1230.0,50.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,4952.8476,208121.1126,214.318,1061484.4891,0.001,1230.0,49.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,2500,274.2426,3758687.0803,184.769,50671.5326,0.0,1230.0,44.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,2801.4414,367950.6402,600.1506,1681286.8481,0.0016,2077.0,84.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,2736.2968,376710.6579,599.8199,1641285.227,0.0016,2130.0,85.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,2500,78.4853,13133575.289,248.564,19508.6117,0.0,2422.0,71.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,2812.4451,366511.0277,600.3185,1688362.8837,0.0016,2072.4138,84.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,2742.9046,375803.1418,589.4947,1616927.6414,0.0016,2122.0,82.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,2500,85.4116,12068524.4346,189.577,16192.0776,0.0,2130.0,67.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,3176.686,324486.6356,477.6041,1517198.3351,0.0015,1830.0,72.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,3176.5297,324502.5966,447.7922,1422425.3033,0.0014,1830.0,70.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,2500,93.6686,11004672.7896,151.614,14201.4692,0.0,1830.0,58.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,3795.3893,271590.6268,330.9868,1256223.8095,0.0012,1530.0,60.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,3797.1391,271465.47,311.5038,1182823.1195,0.0011,1530.0,58.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,2500,105.859,9737409.1455,116.479,12330.3475,0.0,1530.0,49.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,4951.8915,208161.2968,234.2951,1160204.1062,0.0011,1230.0,50.18,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,4947.6343,208340.4089,221.7936,1097353.7194,0.0011,1230.0,49.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,2500,124.0389,8310235.2114,105.841,13128.3976,0.0,1230.0,44.0,LD_ST
