batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c,test_case
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,2870.4094,359109.8074,599.6786,1721322.9254,0.0017,2133.5862,82.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,2780.8388,370676.6971,599.9381,1668331.1815,0.0016,2197.0,83.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,7789.9215,6616190.841,398.985,3108061.846,0.0001,2422.0,69.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,2896.0451,355930.9678,585.2602,1694939.9802,0.0016,2115.0,81.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,2881.296,357752.9555,546.4881,1574593.874,0.0015,2122.0,79.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,8602.5175,5991223.7626,315.8856,2717411.3571,0.0001,2130.0,64.093,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,3342.475,308391.8817,441.138,1474492.6329,0.0014,1830.0,68.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,3340.2095,308601.0501,416.0476,1389686.2919,0.0013,1830.0,67.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,9774.368,5272935.0388,262.3319,2564128.8101,0.0,1830.0,55.5476,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,3988.1066,258466.5488,305.2569,1217396.9603,0.0012,1530.0,56.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,3986.3602,258579.7823,289.1661,1152720.3302,0.0011,1530.0,55.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,11341.5879,4544302.6137,210.7449,2390181.6647,0.0,1530.0,47.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,4955.9027,207992.8159,224.3152,1111684.3968,0.0011,1230.0,49.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,4952.4111,208139.4558,218.226,1080744.8643,0.001,1230.0,47.0,LD_ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,13703.4063,3761080.0045,191.9415,2630252.2144,0.0001,1230.0,43.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,2795.9925,368667.7039,599.898,1677310.2347,0.0016,2085.0,83.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,2743.8237,375677.2571,599.9546,1646169.6532,0.0016,2122.0,82.0357,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,3912.5632,13172849.9587,240.46,940814.9391,0.0,2422.0,66.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,2804.4159,367560.3704,600.0837,1682884.3439,0.0016,2077.0,83.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,2742.95,375796.9202,590.9703,1621001.9275,0.0016,2122.0,83.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,4230.1227,12183951.0571,188.7981,798639.3038,0.0,2130.0,66.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,3176.5613,324499.3776,477.2062,1515874.7865,0.0015,1830.0,71.9375,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,3176.4323,324512.5539,448.7188,1425324.7217,0.0014,1830.0,70.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,4665.468,11047039.2169,150.5078,702189.2024,0.0,1830.0,56.7,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,3795.0635,271613.9424,329.2695,1249598.5517,0.0012,1530.0,58.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,3796.3419,271522.4758,310.8034,1179915.9495,0.0011,1530.0,57.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,5260.1388,9798145.937,116.1637,611037.0892,0.0,1530.0,47.4545,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,4948.4129,208307.6272,233.5669,1155785.5618,0.0011,1230.0,49.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,4707.8079,218953.7419,234.5609,1104267.7316,0.0011,1230.0,48.0,LD_ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,6178.3877,8341918.6655,104.9353,648330.8494,0.0,1230.0,41.2812,LD_ST
