batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c,test_case
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,2873.0785,358776.1871,598.4214,1719311.6012,0.0017,2130.0,83.0,LD
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,2799.3563,368224.7091,600.2025,1680180.7364,0.0016,2182.0,83.0,LD
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,6086.5773,8467748.8445,267.156,1626065.6342,0.0,2422.0,65.0,LD
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,2892.4518,356373.1462,583.0917,1686564.5123,0.0016,2115.0,82.0,LD
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,2881.3726,357743.4408,545.8958,1572929.2844,0.0015,2122.0,78.8966,LD
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,6712.9901,7677593.2872,200.9384,1348897.3464,0.0,2130.0,60.6207,LD
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,3342.599,308380.4431,442.513,1479143.3988,0.0014,1830.0,69.0,LD
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,3340.3265,308590.2427,416.5956,1391565.3623,0.0013,1830.0,67.0,LD
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,7569.9931,6808408.8229,159.4782,1207249.0095,0.0,1830.0,53.1406,LD
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,3987.7847,258487.4144,306.2819,1221386.2683,0.0012,1530.0,57.0,LD
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,3986.2579,258586.4176,289.7053,1154839.9423,0.0011,1530.0,55.0,LD
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,8706.0103,5920003.0431,122.3261,1064972.3699,0.0,1530.0,44.9844,LD
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,4955.2326,208020.9427,224.6276,1113081.901,0.0011,1230.0,49.0,LD
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,4952.4715,208136.9158,219.0655,1084915.554,0.0011,1230.0,47.0,LD
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,10430.5309,4941225.7139,109.8295,1145579.6471,0.0,1230.0,40.5778,LD
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,2818.3864,365738.4119,600.0752,1691243.7774,0.0016,2065.8621,83.0,LD
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,2725.7371,378170.0614,600.3008,1636262.1955,0.0016,2137.0,83.0,LD
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,3410.1336,15113662.176,212.0094,722980.3627,0.0,2422.0,67.3939,LD
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,2805.765,367383.6384,600.076,1683672.3295,0.0016,2077.0,83.0,LD
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,2743.2069,375761.7226,592.2113,1624558.1844,0.0016,2122.0,83.0,LD
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,3687.1815,13978050.1527,165.6947,610946.6124,0.0,2130.0,65.7083,LD
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,3176.6718,324488.0815,477.3252,1516305.3824,0.0015,1830.0,72.0,LD
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,3176.3229,324523.7241,447.5515,1421568.1977,0.0014,1830.0,70.0,LD
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,4013.4722,12841650.6852,132.1561,530404.633,0.0,1830.0,56.641,LD
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,3795.0667,271613.7087,329.5251,1250569.6661,0.0012,1530.0,58.0,LD
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,3796.4372,271515.6589,310.9693,1180575.4823,0.0011,1530.0,57.0,LD
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,4436.7054,11616639.6526,103.9043,460992.8082,0.0,1530.0,47.4286,LD
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,4948.4004,208308.1545,233.0785,1153365.738,0.0011,1230.0,48.94,LD
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,4945.0808,208447.9882,220.9662,1092695.9182,0.0011,1230.0,48.0,LD
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,5144.279,10018820.422,94.6061,486680.4098,0.0,1230.0,41.5,LD
