batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c,test_case
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,2870.9941,359036.6687,598.9273,1719516.8625,0.0017,2130.7241,82.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,2781.4318,370597.6699,600.0915,1669113.4931,0.0016,2197.0,83.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,5044.4444,10217102.9959,314.5053,1586504.6174,0.0,2422.0,68.7174,ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,2893.0958,356293.8212,585.4776,1693842.6348,0.0016,2115.0,83.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,2881.2928,357753.3539,545.767,1572514.5095,0.0015,2122.0,78.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,5516.5402,9342741.1447,253.7226,1399670.7279,0.0,2130.0,62.375,ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,3342.461,308393.1691,442.5369,1479162.3837,0.0014,1830.0,69.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,3340.2153,308600.5112,416.8721,1392442.628,0.0014,1830.0,67.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,6121.6139,8419284.2431,218.598,1338172.5579,0.0,1830.0,55.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,3987.7507,258489.6188,305.5796,1218575.355,0.0012,1530.0,56.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,3986.5179,258569.5547,288.1956,1148896.711,0.0011,1530.0,53.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,6925.7465,7441740.4205,181.3305,1255849.0211,0.0,1530.0,45.3881,ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,2500,4955.5098,208009.3068,224.3267,1111653.053,0.0011,1230.0,49.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,2500,4952.1028,208152.4118,219.3649,1086317.7437,0.0011,1230.0,48.0,ST
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,0,0,125000,8246.1007,6250179.263,169.2248,1395444.3741,0.0,1230.0,42.4667,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,2809.9105,366841.6361,599.8805,1685610.5413,0.0016,2070.0,82.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,2723.8501,378432.0378,600.0236,1634374.471,0.0016,2145.0,82.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,2967.2043,17369753.3882,186.5313,553476.3727,0.0,2422.0,65.8947,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,2822.1513,365250.4886,600.0127,1693326.511,0.0016,2065.8621,83.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,2743.2437,375756.6763,591.6182,1622952.9646,0.0016,2122.0,83.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,3168.5573,16265954.2375,149.5314,473798.8046,0.0,2130.0,66.16,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,3180.8008,324066.8668,474.4345,1509081.7394,0.0015,1830.0,73.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,3176.2909,324526.996,447.0956,1420105.7745,0.0014,1830.0,69.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,3406.4993,15129786.5999,120.4886,410444.192,0.0,1830.0,55.8235,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,3795.3601,271592.7108,328.9392,1248442.571,0.0012,1530.0,58.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,3796.7328,271494.5236,310.7635,1179886.06,0.0011,1530.0,57.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,3749.7717,13744732.1448,95.2922,357324.1193,0.0,1530.0,47.3667,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,2500,4943.8548,208499.6835,233.922,1156476.1935,0.0011,1230.0,50.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cublas_bf16,0,0,2500,4707.6032,218963.26,234.5872,1104343.5989,0.0011,1230.0,48.0,ST
16,256,mlp_down_proj,36,4096,12288,4096,cutlass_sm80,0,0,125000,4290.4252,12012703.7871,87.1994,374122.3996,0.0,1230.0,41.0,ST
