batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,1,1.116,369463.8498,44.986,50.2038,0.0001
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,0,1,1,4.3915,93890.0335,103.684,455.3269,0.0011
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,8,1,1,4.3384,95039.1856,162.394,704.5282,0.0017
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,16,1,1,4.3509,94765.0719,191.057,831.277,0.002
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,32,1,1,4.29,96111.6268,388.148,1665.1468,0.004
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,64,1,1,4.2623,96736.4705,415.627,1771.5141,0.0043
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,128,1,1,4.2791,96355.0976,414.723,1774.6574,0.0043
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,256,1,1,4.2857,96207.1613,413.888,1773.8077,0.0043
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,512,1,1,4.2948,96003.9856,413.772,1777.0634,0.0043
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,1024,1,1,4.301,95865.1471,414.523,1782.8672,0.0043
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,2048,1,1,4.3004,95878.076,414.558,1782.7773,0.0043
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,4096,1,1,4.3293,95237.8546,413.915,1791.9779,0.0043
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,8192,1,1,4.4357,92953.4268,413.25,1833.0679,0.0044
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,16384,1,1,4.4829,91975.7631,410.545,1840.4264,0.0045
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,32768,1,1,4.5548,90523.0759,406.667,1852.2974,0.0045
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,0,1,1,3.8729,106461.6888,391.478,1516.1602,0.0037
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,8,1,1,3.8693,106562.0894,376.288,1455.9576,0.0035
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,16,1,1,3.8915,105952.2968,357.743,1392.1687,0.0034
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,32,1,1,3.8677,106605.926,341.43,1320.5396,0.0032
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,64,1,1,3.8414,107335.776,327.977,1259.8823,0.0031
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,128,1,1,3.8427,107299.4926,328.435,1262.0683,0.0031
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,256,1,1,3.8529,107015.9588,328.2,1264.5067,0.0031
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,512,1,1,3.8489,107126.6192,328.416,1264.0318,0.0031
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,1024,1,1,3.8751,106401.5222,328.784,1274.0719,0.0031
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,2048,1,1,3.864,106708.5312,328.225,1268.2463,0.0031
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,4096,1,1,3.9455,104503.5194,327.862,1293.574,0.0031
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,8192,1,1,4.0252,102434.5948,325.867,1311.6707,0.0032
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,16384,1,1,4.0111,102793.1418,323.964,1299.4624,0.0032
16,256,mlp_up_proj,36,4096,4096,12288,wmma_hiperf,32768,1,1,4.5608,90403.6122,316.737,1444.5884,0.0035
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,0,1,1,8.9083,46284.8117,376.103,3350.4211,0.0081
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,8,1,1,8.9332,46155.5458,498.075,4449.4051,0.0108
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,16,1,1,8.9596,46019.751,499.64,4476.5561,0.0109
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,32,1,1,8.9677,45978.1328,501.954,4501.3593,0.0109
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,64,1,1,8.9333,46154.9774,503.036,4493.778,0.0109
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,128,1,1,8.9303,46170.6376,502.865,4490.7268,0.0109
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,256,1,1,8.9215,46215.8687,502.485,4482.9415,0.0109
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,512,1,1,8.9083,46284.6559,503.214,4482.7732,0.0109
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,1024,1,1,8.9481,46078.4836,504.118,4510.9199,0.0109
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,2048,1,1,8.8967,46344.9055,504.26,4486.2515,0.0109
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,4096,1,1,8.8632,46519.9638,503.583,4463.3689,0.0108
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,8192,1,1,8.7657,47037.4477,502.507,4404.8331,0.0107
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,16384,1,1,8.3503,49377.2541,503.787,4206.7927,0.0102
16,256,mlp_up_proj,36,4096,4096,12288,wmma_simple,32768,1,1,7.9437,51905.0517,505.093,4012.2946,0.0097
16,256,mlp_down_proj,36,4096,12288,4096,cublas,0,0,1,1.0477,393549.2776,505.093,529.1799,0.0013
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,0,1,1,4.8756,84566.8541,503.936,2457.0065,0.006
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,8,1,1,4.8752,84573.62,468.501,2284.0557,0.0055
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,16,1,1,4.8742,84592.0118,439.612,2142.7489,0.0052
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,32,1,1,4.8706,84653.6668,389.205,1895.6743,0.0046
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,64,1,1,4.8721,84628.8203,389.599,1898.1505,0.0046
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,128,1,1,4.8745,84586.458,389.879,1900.466,0.0046
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,256,1,1,4.8805,84482.2959,389.046,1898.7437,0.0046
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,512,1,1,4.874,84594.7889,388.881,1895.4145,0.0046
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,1024,1,1,4.8757,84566.1777,388.968,1896.48,0.0046
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,2048,1,1,4.8796,84498.0514,388.524,1895.8425,0.0046
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,4096,1,1,4.8926,84273.5342,388.51,1900.8248,0.0046
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,8192,1,1,4.9094,83984.4654,388.533,1907.4802,0.0046
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,16384,1,1,4.9353,83544.2345,388.448,1917.1121,0.0046
16,256,mlp_down_proj,36,4096,12288,4096,wmma_opt,32768,1,1,4.9961,82527.7278,386.487,1930.9281,0.0047
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,0,1,1,4.0075,102885.4825,371.595,1489.1788,0.0036
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,8,1,1,4.0003,103071.1753,358.509,1434.1479,0.0035
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,16,1,1,4.0028,103006.5445,350.684,1403.7256,0.0034
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,32,1,1,3.9963,103174.5994,336.13,1343.277,0.0033
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,64,1,1,3.9971,103153.9494,331.198,1323.8322,0.0032
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,128,1,1,4.0085,102859.5588,330.001,1322.8229,0.0032
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,256,1,1,4.0132,102740.8893,329.208,1321.1683,0.0032
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,512,1,1,4.005,102951.7361,328.392,1315.1945,0.0032
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,1024,1,1,4.0083,102866.4881,327.653,1313.3223,0.0032
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,2048,1,1,4.0107,102803.6504,327.366,1312.974,0.0032
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,4096,1,1,4.0308,102292.2801,327.862,1321.537,0.0032
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,8192,1,1,4.0674,101372.0591,326.344,1327.3592,0.0032
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,16384,1,1,4.1005,100553.046,324.181,1329.3013,0.0032
16,256,mlp_down_proj,36,4096,12288,4096,wmma_hiperf,32768,1,1,4.279,96357.1253,320.991,1373.5362,0.0033
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,0,1,1,10.3384,39882.2424,417.831,4319.686,0.0105
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,8,1,1,10.2891,40073.1435,487.271,5013.5834,0.0122
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,16,1,1,10.2613,40181.7844,488.379,5011.3976,0.0122
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,32,1,1,10.2696,40149.2696,488.53,5017.0067,0.0122
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,64,1,1,10.2755,40126.3378,489.116,5025.8953,0.0122
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,128,1,1,10.2199,40344.4351,489.579,5003.4577,0.0121
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,256,1,1,10.2816,40102.2541,489.621,5034.1059,0.0122
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,512,1,1,10.2249,40324.7462,490.981,5020.236,0.0122
16,256,mlp_down_proj,36,4096,12288,4096,wmma_simple,1024,1,1,10.2097,40384.662,491.616,5019.2711,0.0122
