batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,50,55.2739,372975.9335,67.564,3734.5273,0.0002,1552.0
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,50,52.4662,392936.0367,101.688,5335.1784,0.0003,1552.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,0,0,50,223.3566,92300.1262,303.936,67886.1137,0.0033,2297.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,8,0,50,221.5817,93039.4752,496.2303,109955.5499,0.0053,2322.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,16,0,50,220.594,93456.0592,449.3747,99129.3413,0.0048,2374.6667
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,32,0,50,217.3112,94867.8313,429.515,93338.4235,0.0045,2385.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,64,0,50,216.5,95223.2991,417.9673,90489.9222,0.0044,2412.3333
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,128,0,50,216.6398,95161.8553,411.5377,89155.4279,0.0043,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,256,0,50,216.6657,95150.4798,410.2477,88886.588,0.0043,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,512,0,50,216.4452,95247.4158,408.767,88475.6424,0.0043,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,1024,0,50,217.0352,94988.4845,409.8017,88941.3793,0.0043,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,2048,0,50,217.526,94774.1484,409.558,89089.5205,0.0043,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,4096,0,50,218.7832,94229.5469,408.3767,89345.9592,0.0043,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,8192,0,50,220.6747,93421.8517,406.5573,89716.9346,0.0044,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,16384,0,50,224.2579,91929.1919,402.7507,90319.999,0.0044,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,32768,0,50,232.5751,88641.6622,396.909,92311.1484,0.0045,2415.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,65536,0,50,242.5007,85013.5329,387.5927,93991.5011,0.0046,2407.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,131072,0,50,249.1859,82732.7878,377.587,94089.3511,0.0046,2407.0
16,256,mlp_up_proj,36,4096,4096,12288,wmma_opt,262144,0,50,262.0188,78680.7755,370.842,97167.5788,0.0047,2409.6667
