batch_size,seq_len,layer,count,M,K,N,kernel,sleep_ns,sleep_freq,num_iters,elapsed_ms,gflops,power_w,energy_mj,nj_per_flop,sm_clock_mhz,temp_c
16,256,mlp_up_proj,36,4096,4096,12288,cublas,0,0,50,53.3723,386264.9287,66.567,3552.8331,0.0002,592.0,33.0
16,256,mlp_up_proj,36,4096,4096,12288,cublas_bf16,0,0,50,52.2425,394617.9152,94.917,4958.7054,0.0002,2272.0,37.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2,32768,50,63.4742,324790.9535,197.65,12545.6739,0.0006,2272.0,50.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2,16384,50,63.5853,324223.6125,261.597,16633.7135,0.0008,2355.0,51.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2,8192,50,63.6862,323709.5841,285.923,18209.3579,0.0009,2400.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2,4096,50,63.792,323173.0566,307.512,19616.7935,0.001,2400.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2,2048,50,63.8105,323079.3617,549.458,35061.1683,0.0017,2392.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2,1024,50,63.8755,322750.347,606.203,38721.5258,0.0019,2392.0,52.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2,256,50,63.8894,322680.179,607.111,38787.9575,0.0019,2392.0,53.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2,64,50,64.3255,320492.303,605.932,38976.908,0.0019,2392.0,53.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2,16,50,63.8969,322642.405,601.805,38453.4618,0.0019,2385.0,53.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2,4,50,63.9373,322438.4916,600.895,38419.5973,0.0019,2385.0,53.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2,1,50,71.4545,288516.9372,600.304,42894.442,0.0021,2385.0,54.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,2,0,50,55.6942,370161.5394,592.713,33010.6639,0.0016,2385.0,54.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,32768,50,63.8924,322664.8763,598.383,38232.1439,0.0019,2392.0,54.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,16384,50,63.9459,322395.1222,598.629,38279.8642,0.0019,2362.0,54.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,8192,50,64.0126,322058.8903,599.498,38375.4556,0.0019,2362.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,4096,50,64.0126,322059.0915,599.536,38377.8642,0.0019,2385.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,2048,50,64.0225,322009.4464,600.076,38418.3531,0.0019,2385.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,1024,50,64.0192,322025.7937,599.869,38403.1509,0.0019,2385.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,256,50,64.0111,322066.7439,602.701,38579.5474,0.0019,2385.0,55.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,64,50,63.9855,322195.7008,606.038,38777.6257,0.0019,2377.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,16,50,64.02,322021.87,601.275,38493.6309,0.0019,2385.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,4,50,64.0433,321904.8642,600.863,38481.2367,0.0019,2385.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,1,50,71.4666,288468.4154,601.188,42964.8335,0.0021,2385.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,4,0,50,55.8459,369155.9047,594.303,33189.3848,0.0016,2385.0,57.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,6,32768,50,63.9854,322196.0029,598.749,38311.1996,0.0019,2370.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,6,16384,50,64.0659,321791.1125,598.511,38344.1566,0.0019,2370.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,6,8192,50,64.1176,321531.8431,599.151,38416.111,0.0019,2377.0,56.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,6,4096,50,64.083,321705.5465,598.939,38381.7828,0.0019,2377.0,57.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,6,2048,50,64.1233,321503.0058,598.906,38403.8465,0.0019,2385.0,57.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,6,1024,50,64.1389,321425.1601,598.762,38403.9115,0.0019,2385.0,57.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,6,256,50,64.1182,321528.6836,601.373,38558.9591,0.0019,2377.0,57.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,6,64,50,64.1108,321566.0469,604.113,38730.1424,0.0019,2377.0,57.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,6,16,50,64.1213,321513.089,600.301,38492.0913,0.0019,2377.0,57.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,6,4,50,64.1713,321262.5272,600.388,38527.6953,0.0019,2377.0,57.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,6,1,50,71.4838,288398.8043,600.166,42902.1475,0.0021,2385.0,57.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,6,0,50,55.9348,368569.2527,593.726,33209.938,0.0016,2385.0,58.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,32768,50,64.1254,321492.6326,597.701,38327.8145,0.0019,2355.0,58.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,16384,50,64.1565,321336.7884,597.557,38337.1645,0.0019,2355.0,58.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,8192,50,64.1613,321312.4984,597.852,38358.9902,0.0019,2377.0,58.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,4096,50,64.069,321775.5375,597.557,38284.8908,0.0019,2377.0,58.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,2048,50,64.1832,321203.0634,598.089,38387.2707,0.0019,2377.0,58.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,1024,50,64.2125,321056.4542,598.151,38408.7813,0.0019,2377.0,59.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,256,50,64.2169,321034.451,598.261,38418.4776,0.0019,2377.0,59.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,64,50,64.2228,321005.2083,603.542,38761.1378,0.0019,2377.0,59.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,16,50,64.2392,320923.0074,600.23,38558.3058,0.0019,2377.0,59.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,4,50,64.2432,320902.8807,600.741,38593.5524,0.0019,2377.0,59.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,1,50,71.5028,288322.2101,600.143,42911.9001,0.0021,2377.0,59.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,8,0,50,56.1049,367451.7578,594.33,33344.8234,0.0016,2392.0,60.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,10,32768,50,64.2717,320760.9269,597.676,38413.6394,0.0019,2340.0,59.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,10,16384,50,64.2667,320785.5382,597.59,38405.1653,0.0019,2340.0,59.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,10,8192,50,64.3002,320618.8597,598.195,38464.0324,0.0019,2340.0,60.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,10,4096,50,64.2618,320810.2978,597.822,38417.11,0.0019,2377.0,60.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,10,2048,50,64.1956,321141.1199,597.584,38362.2563,0.0019,2377.0,60.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,10,1024,50,64.306,320589.9367,597.494,38422.4241,0.0019,2377.0,60.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,10,256,50,64.2756,320741.5144,598.265,38453.8227,0.0019,2377.0,60.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,10,64,50,64.3388,320426.3553,600.55,38638.6585,0.0019,2377.0,60.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,10,16,50,64.3154,320542.6875,600.666,38632.0963,0.0019,2377.0,60.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,10,4,50,64.3037,320601.4088,600.705,38627.5283,0.0019,2377.0,60.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,10,1,50,71.498,288341.6108,600.324,42921.954,0.0021,2370.0,60.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,10,0,50,56.5055,364846.9455,595.492,33648.547,0.0016,2392.0,61.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,12,32768,50,64.6998,318638.3563,598.588,38728.5335,0.0019,2392.0,61.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,12,16384,50,64.7424,318428.8423,598.399,38741.779,0.0019,2325.0,61.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,12,8192,50,64.7216,318530.981,597.962,38701.0729,0.0019,2325.0,61.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,12,4096,50,64.7476,318403.0229,596.723,38636.4036,0.0019,2355.0,61.0
16,256,mlp_up_proj,36,4096,4096,12288,cutlass_sm80,12,2048,50,64.7607,318338.9642,597.278,38680.1205,0.0019,2355.0,61.0
